Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
1,CJ Abrams,TOT,90,284,33,70,12,2,2,21,7,4,5,50,9,2,0,abramcj01
2,Albert Abreu,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abreual01
3,José Abreu,CHW,157,601,85,183,40,0,15,75,0,0,62,110,12,4,2,abreujo02
4,Ronald Acuna Jr.,ATL,119,467,71,124,24,0,15,50,29,11,53,126,10,3,4,acunaro01
5,Willy Adames,MIL,139,563,83,134,31,0,31,98,8,3,49,166,1,4,3,adamewi01
6,Riley Adams,WSN,48,142,14,25,4,0,5,10,0,1,12,46,1,0,0,adamsri03
7,Jo Adell,LAA,88,268,22,60,12,2,8,27,4,2,11,107,4,1,0,adelljo01
8,Ehire Adrianza,TOT,37,97,8,17,3,0,0,7,1,0,11,25,1,1,0,adriaeh01
9,Jesus Aguilar,TOT,129,464,39,109,19,0,16,51,1,0,28,119,4,5,1,aguilje01
10,Ryan Aguilar,LAA,7,22,2,3,1,0,0,2,0,0,2,14,1,1,0,aguilry01
11,Nick Ahmed,ARI,17,52,7,12,2,0,3,7,0,1,2,15,0,0,0,ahmedni01
12,Hanser Alberto,LAD,73,156,13,38,9,2,2,15,0,1,3,25,0,0,0,alberha01
13,Ozzie Albies,ATL,64,247,36,61,16,0,8,35,3,5,16,47,2,4,0,albieoz01
14,Sergio Alcantara,TOT,93,205,26,45,8,1,6,29,1,2,12,57,1,4,0,alcanse01
15,Scott Alexander,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alexasc02
16,Jorge Alfaro,SDP,82,256,25,63,14,0,7,40,1,0,11,98,4,3,0,alfarjo01
17,Anthony Alford,PIT,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,alforan01
18,Austin Allen,OAK,5,14,1,1,0,0,0,0,0,0,1,9,1,0,0,allenau01
19,Greg Allen,PIT,46,118,17,22,4,0,2,8,8,2,10,42,2,1,0,allengr01
20,Nick Allen,OAK,100,299,31,62,13,0,4,19,3,2,19,64,1,1,0,allenni02
21,Abraham Almonte,BOS,15,35,7,9,2,0,1,2,1,0,1,12,1,0,0,almonab01
22,Albert Almora,CIN,64,215,26,48,10,1,5,29,3,2,17,46,1,1,0,almoral01
23,Pete Alonso,NYM,160,597,95,162,27,0,40,131,5,1,67,128,12,9,16,alonspe01
24,Jose Altuve,HOU,141,527,103,158,39,0,28,57,18,1,66,87,10,1,2,altuvjo01
25,Jose Alvarado,PHI,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,alvarjo03
26,Eddy Alvarez,LAD,14,25,1,4,0,0,0,3,1,0,0,9,0,1,0,alvared01
27,Francisco Álvarez,NYM,5,12,3,2,1,0,1,1,0,0,2,4,0,0,0,alvarfr01
28,Yordan Alvarez,HOU,135,470,95,144,29,2,37,97,1,1,78,106,6,7,9,alvaryo01
29,Brian Anderson,MIA,98,338,43,75,16,1,8,28,1,0,37,101,7,1,2,anderbr06
30,Tim Anderson,CHW,79,332,50,100,13,0,6,25,13,0,14,55,5,0,1,anderti01
31,Tyler Anderson,LAD,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,anderty01
32,Elvis Andrus,TOT,149,535,66,133,32,0,17,58,18,4,39,92,3,0,0,andruel01
33,Miguel Andujar,TOT,36,132,13,31,5,1,1,17,4,1,5,27,0,3,0,andujmi01
34,Mark Appel,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,appelma01
35,Aristides Aquino,CIN,80,259,24,51,13,0,10,30,2,3,17,101,0,0,0,aquinar01
36,Jonathan Aranda,TBR,32,78,10,15,4,0,2,6,0,0,8,23,1,0,1,arandjo01
37,Jonathan Arauz,TOT,15,38,3,5,0,0,1,5,0,0,1,12,0,1,0,arauzjo01
38,Orlando Arcia,ATL,67,209,25,51,9,0,9,30,0,0,21,51,2,2,0,arciaor01
39,Nolan Arenado,STL,148,557,73,163,42,1,30,103,5,3,52,72,7,4,3,arenano01
40,Gabriel Arias,CLE,16,47,9,9,1,1,1,5,1,0,8,16,1,0,0,ariasga01
41,Randy Arozarena,TBR,153,586,72,154,41,3,20,89,32,12,46,156,11,2,2,arozara01
42,Luis Arraez,MIN,144,547,88,173,31,1,8,49,4,4,50,43,3,3,2,arraelu01
43,Christian Arroyo,BOS,87,280,32,80,16,1,6,36,5,1,13,49,3,2,2,arroych01
44,Willians Astudillo,MIA,21,54,5,13,0,0,1,4,1,0,1,3,0,0,0,astudwi01
